#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7465659082094,14841986825031,14841989911659,14841994436770,14841994444433,14841994504652,14841995728162,14841996678783,14841996699921,14841997327598,14841997579245,14841999366961,14841999373110,14841999373336,14841999450999,14841999683105,14842000206252,14842001355125,14842001610757,14842001997734,14842002505349,14842002759954,14842002773913,14842002789423
7465692371694,14841994440844,14841997833898,14842002795534,14842002803940,14842002876084,14842003746313,14842004608543,14842004620358,14842005409965,14842005615016,14842007395194,14842007401018,14842007401229,14842007532280,14842007761862,14842008309854,14842009428791,14842009684629,14842010074569,14842010503223,14842010761162,14842010774606,14842010788728
7465725667494,14842002802017,14842005877518,14842010794740,14842010805197,14842010872858,14842011914624,14842012609277,14842012622353,14842013259763,14842013426907,14842015233743,14842015239440,14842015239717,14842015365594,14842015599100,14842016178289,14842017233194,14842017505520,14842017842771,14842018255184,14842018481571,14842018493959,14842018509068
7465758950894,14842010801675,14842013861713,14842018513892,14842018521871,14842018608079,14842020376924,14842021227811,14842021239348,14842022063126,14842022237794,14842023915905,14842023921693,14842023921943,14842024060824,14842024585682,14842024987804,14842025793656,14842026004339,14842026286938,14842026710765,14842026956172,14842026968699,14842026984348
7465792239894,14842018519411,14842021649306,14842026990265,14842026999325,14842027063073,14842027862532,14842028560927,14842028571702,14842029314684,14842029494614,14842031269830,14842031275792,14842031275983,14842031422600,14842032232011,14842032729638,14842033726536,14842033945186,14842034248274,14842034638313,14842034857344,14842034990048,14842035010455
7465825536094,14842026995780,14842030108372,14842035133784,14842035137620,14842035178858,14842036077771,14842036892206,14842036903180,14842037565899,14842037761658,14842039558824,14842039564099,14842039564311,14842039640834,14842039880976,14842040440541,14842041458553,14842041706713,14842042017960,14842042431322,14842042661379,14842042673308,14842042688177
7465858822394,14842035136738,14842038185881,14842042692986,14842042701038,14842042769682,14842044161306,14842044890545,14842044894678,14842045644581,14842045814251,14842047566375,14842047571905,14842047572138,14842047714377,14842047937275,14842048217883,14842048673800,14842048784995,14842048946477,14842049255428,14842049440787,14842049453995,14842049468496
7465892129894,14842042698212,14842045721805,14842049473720,14842049482926,14842049550243,14842050231815,14842050941007,14842050951587,14842051654497,14842051849797,14842053643961,14842053650836,14842053651098,14842053788794,14842054041227,14842054359981,14842054726144,14842054814445,14842054939360,14842055225110,14842055524310,14842055539660,14842055553924
7465925404594,14842049479115,14842053296610,14842055559713,14842055569101,14842055636050,14842057303066,14842058152910,14842058163989,14842058970387,14842059124743,14842060860116,14842060865871,14842060866326,14842060943244,14842061174609,14842061736880,14842062970719,14842063240505,14842063636049,14842064083407,14842064354117,14842064368461,14842064381670
7465958686294,14842055565174,14842058621527,14842064387286,14842064396698,14842064460022,14842065064114,14842065857945,14842065861229,14842066520026,14842066694447,14842068534540,14842068540311,14842068540523,14842068633359,14842068844314,14842069301809,14842070309077,14842070526890,14842070835168,14842071223163,14842071471959,14842071483191,14842071495467
7465991989594,14842064393104,14842067437242,14842071499716,14842071508237,14842071579060,14842073590648,14842074470056,14842074473684,14842075300414,14842075552461,14842077352161,14842077358963,14842077359167,14842077497368,14842077720317,14842078209219,14842079545436,14842079794744,14842080174239,14842080595139,14842080900274,14842080913597,14842080927161
7466025264894,14842071506506,14842074631671,14842080932529,14842080941194,14842081008043,14842082865983,14842083780016,14842083784581,14842084492887,14842084682772,14842086450806,14842086456425,14842086456664,14842086535802,14842087448759,14842088001515,14842089221301,14842089472149,14842089849826,14842090326650,14842090590074,14842090748239,14842090761704
7466058554294,14842080938264,14842084133876,14842090773951,14842090784016,14842090840959,14842091576665,14842092336339,14842092340066,14842093030727,14842093200358,14842095036218,14842095041664,14842095041904,14842095162585,14842095377970,14842095844267,14842096783418,14842096991299,14842097297721,14842097681709,14842097932973,14842097944271,14842097957067
7466091845194,14842090779292,14842093841608,14842097961295,14842097969660,14842098045873,14842098612110,14842099302182,14842099313892,14842100050280,14842100316495,14842102112436,14842102117698,14842102117919,14842102205549,14842102811599,14842103306249,14842104395544,14842104630341,14842104992646,14842105418870,14842105646466,14842105659770,14842105677362
