#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
4528445378383,14600388005780,14600395409500,14600398681110,14600398827355,14600398869733,14600400214370,14600401659404,14600401677690,14600402398639,14600402756984,14600406806905,14600406818185,14600406818478,14600406897563,14600407148614,14600407650341,14600408584327,14600408748818,14600409045934,14600409369857,14600409640878,14600409667010,14600409756471
4528478668483,14600398685234,14600406740481,14600409763135,14600409910966,14600409951509,14600410969024,14600412466336,14600412485645,14600413312035,14600413717148,14600418051810,14600418064274,14600418064569,14600418114033,14600418297613,14600418917692,14600419678195,14600419800335,14600420126069,14600420398268,14600420594865,14600420619391,14600420625297
4528511961283,14600409775490,14600417419774,14600420626879,14600420745834,14600420822815,14600422683579,14600424256589,14600424283043,14600425030796,14600425349473,14600429456534,14600429468314,14600429468636,14600429521229,14600429734108,14600430053064,14600430715228,14600430819293,14600431055415,14600431318182,14600431573466,14600431595409,14600431609200
4528545245683,14600420629031,14600428076124,14600431612689,14600431738081,14600431779989,14600433435700,14600434788501,14600434806136,14600435597735,14600435971520,14600440076269,14600440089402,14600440089686,14600440140881,14600440640976,14600441066821,14600441808527,14600441946047,14600442168994,14600442485913,14600442747248,14600442770533,14600442784990
4528578533883,14600431616973,14600439259058,14600442787561,14600442805012,14600442888936,14600444271817,14600445688355,14600445733509,14600446487821,14600446880520,14600451029053,14600451042878,14600451043207,14600451094688,14600452463760,14600452611412,14600453333607,14600453455875,14600453737596,14600454044582,14600454315772,14600454630479,14600454643633
4528611822583,14600442792603,14600450482384,14600454696624,14600454763464,14600454805738,14600455723030,14600457175155,14600457221051,14600458041098,14600458427277,14600462212280,14600462225980,14600462226316,14600462279327,14600462427026,14600462663756,14600463501515,14600463637726,14600463933248,14600464199982,14600464458435,14600464482066,14600464487720
4528645112583,14600454699453,14600462142876,14600464489016,14600464498053,14600464571337,14600465756383,14600467220614,14600467255983,14600468031827,14600468445832,14600472170424,14600472182947,14600472183247,14600472250671,14600472420961,14600472771819,14600473561615,14600473709880,14600474071213,14600474451463,14600474659120,14600474678503,14600474685791
4528678402783,14600464491758,14600471892126,14600474687120,14600474784409,14600474827945,14600476706016,14600478383501,14600478437712,14600479220840,14600479564403,14600482989738,14600483004864,14600483005212,14600483056738,14600483297555,14600483564854,14600484455353,14600484622226,14600484931930,14600485322484,14600485665205,14600485692769,14600485707687
4528711689983,14600474689579,14600482822275,14600485710959,14600485804255,14600485847410,14600487596832,14600489285398,14600489327893,14600490107004,14600490424829,14600493709538,14600493723263,14600493723579,14600493788942,14600493994465,14600494301045,14600495143588,14600495297884,14600495575995,14600495935961,14600496232059,14600496252761,14600496258474
4528744979583,14600485716167,14600493104517,14600496259550,14600496339725,14600496420480,14600497345507,14600498827406,14600498906167,14600499702467,14600500152332,14600503786485,14600503798339,14600503798639,14600503864272,14600504087488,14600504388856,14600505228579,14600505381356,14600505647157,14600505968577,14600506266264,14600506290496,14600506303549
4528778267583,14600496262050,14600503743960,14600506306635,14600506435827,14600506479468,14600507501763,14600508848587,14600508882827,14600509528817,14600509791415,14600513436378,14600513448777,14600513449063,14600513511761,14600513680648,14600514044574,14600514834573,14600514956680,14600515278480,14600515608999,14600515954455,14600515985105,14600516105852
4528811556383,14600506311935,14600513903101,14600516111794,14600516170667,14600516209679,14600517271594,14600518597994,14600518651426,14600519388188,14600519715186,14600523345894,14600523357799,14600523358121,14600523428037,14600525065571,14600525242807,14600525935386,14600526045441,14600526253090,14600526554585,14600526851415,14600527146836,14600533079329
4528844852083,14600516124481,14600533076257,14600533084558,14600533225963,14600533266819,14600534466639,14600535875600,14600535936088,14600536761691,14600537115383,14600540641777,14600540654302,14600540654625,14600540706328,14600540848338,14600541060023,14600541869588,14600542016385,14600542270404,14600542561557,14600542888886,14600542917609,14600542925955
4528878135983,14600533087396,14600541461795,14600542927277,14600543015402,14600543059344,14600544367361,14600546006864,14600546080410,14600546814033,14600547174592,14600550319782,14600550333928,14600550334239,14600550386154,14600551051910,14600551298757,14600552162491,14600552299010,14600552611749,14600552962541,14600553174936,14600553195365,14600553202988
4528911423883,14600542929648,14600550074888,14600553204502,14600553215770,14600553292295,14600554675392,14600556638129,14600556671673,14600557389089,14600557666274,14600560423161,14600560435640,14600560435992,14600560500684,14600560717356,14600561024458,14600562083322,14600562283319,14600562693139,14600563121489,14600563481357,14600563505809,14600563512806
4528944723183,14600553207343,14600561414064,14600563514172,14600563611085,14600563653711,14600564835087,14600566463892,14600566530479,14600567312586,14600567493449,14600570185288,14600570199591,14600570199908,14600570251993,14600570504764,14600570692800,14600571611189,14600571787242,14600572034944,14600572396167,14600572702400,14600572728538,14600572734386
4528978002483,14600563517218,14600570969442,14600572737429,14600572746326,14600572831988,14600574101610,14600575809910,14600575839230,14600576710911,14600577017904,14600579806023,14600579819612,14600579819948,14600579940816,14600580150404,14600580239532,14600580998074,14600581135580,14600581432553,14600581783009,14600582096079,14600582112062,14600582117418
4529011291783,14600572739036,14600580192883,14600582118489,14600582197712,14600582243111,14600583853767,14600585642054,14600585697522,14600586421091,14600586679305,14600589442026,14600589455132,14600589455627,14600589529613,14600589728428,14600589910843,14600590714138,14600590882481,14600591159903,14600591507742,14600591824628,14600591847301,14600591853826
4529044579483,14600582120486,14600589623296,14600591855590,14600591931456,14600591975092,14600593347242,14600595276388,14600595330245,14600596056963,14600596441516,14600599564557,14600599577268,14600599577576,14600599627333,14600601562612,14600601705802,14600602102034,14600602180781,14600602315330,14600602627335,14600602879375,14600603153034,14600603166051
4529077869383,14600591858449,14600599255555,14600603173335,14600603293905,14600603335877,14600604664406,14600606245746,14600606290756,14600607017480,14600607387761,14600611307679,14600611320614,14600611320943,14600611369977,14600611533683,14600611641061,14600611930145,14600611992347,14600612095184,14600612349616,14600612612133,14600612637538,14600612652637
4529111159483,14600603177929,14600610537033,14600612655407,14600612810718,14600612850806,14600614324378,14600615761684,14600615796640,14600616631602,14600616997825,14600620484849,14600620496781,14600620497121,14600620546556,14600620691447,14600621268459,14600622169623,14600622327664,14600622699370,14600623088742,14600623366398,14600623390406,14600623397037
4529144446483,14600612659669,14600619993639,14600623398068,14600623478070,14600623525076,14600625640248,14600627291907,14600627359538,14600628101937,14600628416015,14600631945148,14600631958950,14600631959282,14600632011506,14600632180770,14600632584935,14600633073843,14600633205736,14600633398659,14600633716243,14600634032198,14600634055335,14600634062746
4529177738383,14600623400802,14600631874550,14600634063943,14600634188960,14600634228809,14600635370685,14600636890523,14600636941244,14600637709974,14600638126431,14600641661366,14600641673769,14600641674060,14600641737614,14600641909145,14600642129320,14600643083536,14600643263694,14600643628445,14600644107970,14600644510303,14600644536129,14600644542017
4529211076183,14600634066719,14600641409697,14600644543202,14600644552782,14600644625419,14600645937932,14600647273472,14600647322933,14600648130017,14600648448226,14600652171037,14600652182524,14600652182850,14600652234144,14600652976534,14600653177363,14600654183779,14600654369230,14600654831967,14600655237978,14600655587292,14600655610543,14600655616986
4529244313683,14600644545962,14600651899534,14600655618675,14600655707344,14600655748589,14600657217794,14600658762982,14600658818902,14600659715788,14600660019945,14600663648650,14600663660418,14600663660748,14600663731092,14600663953756,14600664172517,14600665090916,14600665256172,14600665609712,14600665989232,14600666339977,14600666367413,14600666373863
4529277604183,14600655621241,14600662961385,14600666375045,14600666450145,14600666496923,14600667616381,14600669128455,14600669165812,14600669970178,14600670344222,14600674181662,14600674193719,14600674194402,14600674246029,14600676470282,14600676746912,14600677238006,14600677329296,14600677473293,14600677801608,14600678129744,14600678401473,14600678493049
4529310892183,14600666377765,14600673813352,14600678503994,14600678560877,14600678620422,14600680304374,14600681833987,14600681855867,14600682616022,14600683026445,14600686933605,14600686945425,14600686945774,14600687015534,14600687198344,14600687435693,14600688334932,14600688521037,14600688782963,14600689105113,14600689463393,14600689490026,14600689502310
4529344181083,14600678514423,14600686283243,14600689541829,14600689559126,14600689626682,14600690566559,14600691933666,14600691972594,14600692755423,14600693131171,14600697068292,14600697080879,14600697081145,14600697129495,14600697343674,14600697650400,14600698847611,14600699059135,14600699382816,14600699763259,14600699989628,14600700020788,14600700028564
4529377476183,14600689547880,14600696921673,14600700029798,14600700119388,14600700161758,14600701258565,14600702627050,14600702676770,14600703470438,14600703801583,14600707813934,14600707825040,14600707825515,14600707878589,14600708027849,14600708282840,14600709550174,14600709787318,14600710264820,14600710662250,14600711035297,14600711063132,14600711069980
4529410758983,14600700032075,14600707955575,14600711071995,14600711082374,14600711156099,14600712508803,14600714137428,14600714196264,14600714993499,14600715381676,14600719264065,14600719275708,14600719276023,14600719326888,14600719483361,14600719815882,14600720297334,14600720405446,14600720555259,14600720917766,14600721310815,14600721337210,14600721343606
4529444047783,14600711074256,14600718373543,14600721344900,14600721353102,14600721434184,14600722441677,14600723836834,14600723904677,14600724742110,14600725078679,14600728857742,14600728870321,14600728870894,14600728933447,14600729088043,14600729338208,14600730415350,14600730654947,14600731048504,14600731435970,14600731824708,14600731850821,14600731856377
4529477345083,14600721347536,14600728678628,14600731857731,14600731953980,14600731998153,14600733167876,14600734639717,14600734683410,14600735444875,14600735811298,14600739566136,14600739577855,14600739578380,14600739631435,14600739769956,14600739981924,14600741110976,14600741310071,14600741677035,14600742067828,14600742458806,14600742484838,14600742491257
4529510626583,14600731860079,14600739343601,14600742492362,14600742566618,14600742609922,14600743938733,14600745436489,14600745499807,14600746265059,14600746622273,14600750501607,14600750513248,14600750513553,14600750577884,14600753210757,14600754109613,14600755440718,14600755691756,14600756121036,14600756747257,14600757172453,14600757542520,14600757548882
4529543914883,14600742494375,14600749798378,14600757551928,14600757561296,14600757637706,14600758786121,14600760279526,14600760355601,14600761115543,14600761451923,14600765088450,14600765100314,14600765100850,14600765212548,14600766044743,14600766637425,14600767901003,14600768139324,14600768728472,14600769193206,14600769591127,14600769618642,14600769626263
4529577204283,14600757553813,14600764933396,14600769627925,14600769636896,14600769711328,14600770883834,14600772222581,14600772284788,14600773039100,14600773366870,14600776961307,14600776973209,14600776973778,14600777087037,14600777330642,14600777750646,14600779060145,14600779280197,14600779721373,14600780136476,14600780650291,14600780674512,14600784839323
4529610493683,14600769630165,14600784832784,14600784844238,14600784861829,14600784996236,14600787126526,14600788520824,14600788593577,14600789402913,14600789716956,14600793467107,14600793482180,14600793482675,14600793555443,14600793733555,14600794070469,14600795388336,14600795631412,14600796184405,14600796735275,14600797160258,14600797187919,14600797279579
4529643781883,14600784849008,14600794659862,14600797282388,14600797291038,14600797373094,14600798166985,14600799294367,14600799324895,14600800124444,14600800386576,14600803905806,14600803918959,14600803919240,14600803997453,14600804211881,14600804552385,14600806025500,14600806223039,14600806724697,14600807203507,14600807635759,14600807665475,14600807750049
