#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,map_stamp_saved,lc_keyframe_indexed,lc_candidates_retrieved,lc_cumulative_initial_matching_ended,lc_cumulative_island_response_received,lc_cumulative_island_matching_ended,lc_cumulative_reprojection_ended,lc_cumulative_pose_estimation_ended,lc_candidates_validated,lc_loop_detection_finished,lc_loop_decision_received,lc_pgo_problem_built,lc_pgo_problem_solved,lc_pgo_poses_applied,lc_loop_closing_finished,backend_state_pushed,consumer_state_received
6796825055721,1526040117488394,1526040127428498,1526040127431867,1526040127441033,1526040127504264,1526040128330446,1526040129230073,1526040129233771,1526040129719071,1526040129987974,1526040133143062,1526040133156547,1526040133156824,1526040133169609,1526040133796181,1526040133937774,1526040134126097,1526040134158058,1526040134221407,1526040134330407,1526040134448076,1526040134568356,1526040136706334,1526040136709650,1526040136709650,1526040136709650,1526040136709650,1526040136709650,1526040136709650,1526040136709650,1526040136710357,1526040136710357,1526040136710357,1526040136710357,1526040136710357,1526040136727487,1526040136752883,1526040136766284
6797058079421,1526040183707035,1526040192958861,1526040192961880,1526040192964969,1526040193025292,1526040193845030,1526040194725150,1526040194728169,1526040195283088,1526040195538913,1526040198842948,1526040198853955,1526040198854223,1526040198866436,1526040199463214,1526040199582634,1526040199772665,1526040199805989,1526040199855533,1526040199998046,1526040200138698,1526040200254574,1526040202408069,1526040202412386,1526040202412386,1526040202412386,1526040202412386,1526040202412386,1526040202412386,1526040202412386,1526040202413222,1526040202413222,1526040202413222,1526040202413222,1526040202413222,1526040202430709,1526040202465101,1526040202660692
6797291103021,1526040250336907,1526040259887168,1526040259890168,1526040259901278,1526040259961462,1526040261397529,1526040262349815,1526040262352978,1526040262850976,1526040263113966,1526040266441130,1526040266451683,1526040266451968,1526040266465363,1526040267059129,1526040267160045,1526040267343491,1526040267377879,1526040267431837,1526040267589908,1526040267706559,1526040267828281,1526040269972865,1526040269977628,1526040269977628,1526040269977628,1526040269977628,1526040269977628,1526040269977628,1526040269977628,1526040269978700,1526040269978700,1526040269978700,1526040269978700,1526040269978700,1526040269995730,1526040270026675,1526040270039741
6797524130121,1526040317417328,1526040326774626,1526040326777499,1526040326786993,1526040326844882,1526040327892111,1526040328816873,1526040328819975,1526040329406453,1526040329678861,1526040333010961,1526040333022437,1526040333022713,1526040333035150,1526040333618367,1526040333861144,1526040334326021,1526040334393232,1526040334526945,1526040334693420,1526040334822062,1526040334946461,1526040337191470,1526040337195966,1526040337195966,1526040337195966,1526040337195966,1526040337195966,1526040337195966,1526040337195966,1526040337196777,1526040337196777,1526040337196777,1526040337196777,1526040337196777,1526040337213213,1526040337250141,1526040337253502
6797757148521,1526040385913070,1526040395705504,1526040395709006,1526040395719083,1526040395785401,1526040396625908,1526040397522480,1526040397525193,1526040398119040,1526040398418074,1526040401858214,1526040401869903,1526040401870207,1526040401883135,1526040402453343,1526040402834867,1526040403587583,1526040403669591,1526040403803783,1526040404004746,1526040404128811,1526040404247768,1526040406509186,1526040406513411,1526040406513411,1526040406513411,1526040406513411,1526040406513411,1526040406513411,1526040406513411,1526040406514227,1526040406514227,1526040406514227,1526040406514227,1526040406514227,1526040406530404,1526040406566320,1526040406578731
6797990171421,1526040455942037,1526040465183745,1526040465186707,1526040465189797,1526040465225117,1526040465944743,1526040466893884,1526040466896936,1526040467423208,1526040467715139,1526040471611462,1526040471623075,1526040471623356,1526040471636355,1526040472250530,1526040472659394,1526040473727377,1526040473860274,1526040474032916,1526040474275938,1526040474428999,1526040474603104,1526040477025039,1526040477029129,1526040477029129,1526040477029129,1526040477029129,1526040477029129,1526040477029129,1526040477029129,1526040477030113,1526040477030113,1526040477030113,1526040477030113,1526040477030113,1526040477044724,1526040477077254,1526040477080940
6798223196421,1526040524488261,1526040534033692,1526040534037663,1526040534047423,1526040534116895,1526040535153987,1526040536123396,1526040536126576,1526040536680278,1526040536935354,1526040540366476,1526040540380596,1526040540380869,1526040540394875,1526040540945607,1526040541442804,1526040542540093,1526040542670505,1526040542845520,1526040543141079,1526040543375726,1526040543565161,1526040545982345,1526040545987114,1526040545987114,1526040545987114,1526040545987114,1526040545987114,1526040545987114,1526040545987114,1526040545987908,1526040545987908,1526040545987908,1526040545987908,1526040545987908,1526040546010973,1526040546051402,1526040546055189
6798456217221,1526040593292038,1526040601941114,1526040601943971,1526040601954334,1526040602018556,1526040602824458,1526040603867043,1526040603870464,1526040604392551,1526040604674490,1526040607516363,1526040607532076,1526040607532343,1526040607545656,1526040608040018,1526040608438165,1526040609428171,1526040609543358,1526040609707238,1526040609964383,1526040610122540,1526040610289664,1526040612821831,1526040612827643,1526040612827643,1526040612827643,1526040612827643,1526040612827643,1526040612827643,1526040612827643,1526040612828375,1526040612828375,1526040612828375,1526040612828375,1526040612828375,1526040612845502,1526040612886375,1526040612900239
6798689240021,1526040658894049,1526040667923849,1526040667927736,1526040667941451,1526040668000022,1526040668885387,1526040669910127,1526040669913980,1526040670428769,1526040670714036,1526040673885683,1526040673900668,1526040673900956,1526040673917481,1526040674475507,1526040674987924,1526040676097512,1526040676213765,1526040676362883,1526040676643142,1526040676823123,1526040677030667,1526040679514617,1526040679519349,1526040679519349,1526040679519349,1526040679519349,1526040679519349,1526040679519349,1526040679519349,1526040679520050,1526040679520050,1526040679520050,1526040679520050,1526040679520050,1526040679538085,1526040679587037,1526040679601773
6798922267221,1526040726366659,1526040735599815,1526040735604990,1526040735608394,1526040735665426,1526040736762300,1526040737824746,1526040737829236,1526040738245438,1526040738496835,1526040741474071,1526040741491422,1526040741491673,1526040741505672,1526040742091427,1526040742719000,1526040743900714,1526040744023478,1526040744189938,1526040744489081,1526040744726539,1526040744988114,1526040747658022,1526040747664132,1526040747664132,1526040747664132,1526040747664132,1526040747664132,1526040747664132,1526040747664132,1526040747664789,1526040747664789,1526040747664789,1526040747664789,1526040747664789,1526040747680193,1526040747729332,1526040747783168
