#t_ns,out_ts
7669888561715,1446734732546
7669921856015,1446740746554
7669955139515,1446749933387
7669988430115,1446759589190
7670021726915,1446770274442
7670055008015,1446784885672
7670088298215,1446799926043
7670121622415,1446811531497
7670154876515,1446825490823
7670188166415,1446840511413
7670221460715,1446855702825
7670254745415,1446868982489
7670288047815,1446883720255
7670321322715,1446894719753
7670354628015,1446910084679
7670387903615,1446925962638
7670421190915,1446944448600
7670454481015,1446960668698
7670487771015,1446976594283
7670521060215,1446990357441
7670554349315,1447004932898
7670587637915,1447019779564
7670620928215,1447033629840
7670654220015,1447049532962
7670687506015,1447065140192
7670720796515,1447078816033
7670754141715,1447092692499
7670787374215,1447106036124
7670820664715,1447115531674
7670853960315,1447124859223
7670887243115,1447134591763
7670920532215,1447148461284
7670953827315,1447159203937
7670987112615,1447169735645
7671020399815,1447179938367
7671053689215,1447190546095
7671086979515,1447204265008
7671120274415,1447217311401
7671153557315,1447230611597
7671186847315,1447248354913
7671220137315,1447267708343
7671253426915,1447287720998
7671286714915,1447312922544
7671320004315,1447335803332
7671353295315,1447356823017
7671386585715,1447384337398
7671419872315,1447413045841
7671453162315,1447448910359
7671486460915,1447479607030
7671519740215,1447511966546
7671553030915,1447545780212
7671586333215,1447575949228
7671619631815,1447606865704
7671652899215,1447641416071
7671686193715,1447674913548
7671719494615,1447699219236
7671752766215,1447731236259
7671786055115,1447765958654
7671819346015,1447787553671
7671852635315,1447819490030
7671885924015,1447850444375
7671919213615,1447888827693
7671952504315,1447923046342
7671985791615,1447949981256
7672019082515,1447977317635
7672052370415,1448003890600
7672085717815,1448031758541
7672118952315,1448061093581
7672152238415,1448089990381
7672185529115,1448113724222
7672218826115,1448139811613
7672252119915,1448165355921
7672285397215,1448193653733
7672318692515,1448219445395
7672351975515,1448242243003
7672385265715,1448273281309
7672418592115,1448296867405
7672451844315,1448323289084
7672485134015,1448347211604
7672518422015,1448371229695
7672551712215,1448395289407
7672585002615,1448418690890
7672618289915,1448434552130
7672651580115,1448463868193
7672684870015,1448489067391
7672718158315,1448516353632
7672751448615,1448545987151
7672784736915,1448570040572
7672818027515,1448594209008
7672851321015,1448615628411
7672884605215,1448635754728
7672917895515,1448659730719
7672951211815,1448680378662
7672984473615,1448700558752
7673017763615,1448720232876
7673051070315,1448737664869
7673084341115,1448748950650
7673117631515,1448766626138
7673150958915,1448787561033
7673184210515,1448806975477
7673217499915,1448825185901
7673250788415,1448842688273
7673284078915,1448859241415
7673317367115,1448874826295
7673350656415,1448890331166
7673383950615,1448908775884
7673417269415,1448927265403
7673450524415,1448945119503
7673483814615,1448965067648
7673517104415,1448987173558
7673550396615,1449007187246
7673583685615,1449030245036
7673616971815,1449050475795
7673650262715,1449070845648
7673683555915,1449093830079
7673716839315,1449115738885
7673750130015,1449136480990
7673783425015,1449154728288
7673816707815,1449170346842
7673849998015,1449185202923
7673883294215,1449201447729
